,p,r2_y_c,r2_yhat_c,r2_y_yhat,n,c_to_y_ratio_in_yhat,yc_in_yhat,y_in_c,num_perms,random_seed,p_pc_pearson,p_pc_spearman,y_to_c_ratio_in_yhat
2366,0.21,0.0002269828003719221,0.0788286652653889,0.002347412871477661,1000,,0.3,0,1000,1940901432,0.23846905515819808,0.23692205134126945,0.0
2367,0.315,0.0020637453080373236,0.08165294833156278,0.0017304370470826447,1000,,0.3,0,1000,1605642647,0.10559948257306682,0.15529421363527648,0.0
2368,0.937,0.004849204943619845,0.08768692093355213,5.21599866987188e-06,1000,,0.3,0,1000,846962468,0.45124773174151267,0.4769693739118369,0.0
2369,0.106,0.00017031282451607233,0.12168678574046987,0.003586502299790739,1000,,0.3,0,1000,861180067,0.10448079163134291,0.1342964197140813,0.0
2370,0.039,0.002680979360049296,0.07576576727955664,0.007188883524721246,1000,,0.3,0,1000,265483530,0.0542331606597052,0.046972782346555934,0.0
2371,0.181,5.298906817041704e-05,0.07501361924802752,0.002801176444439779,1000,,0.3,0,1000,452375986,0.12036897848645743,0.14870551571252394,0.0
2372,0.461,0.000769001784819201,0.08557492589024707,0.0006299583295863442,1000,,0.3,0,1000,1697762992,0.6544516312819946,0.660169231797604,0.0
2373,0.563,0.0022989741538819164,0.13078038938296344,0.0006584121500168294,1000,,0.3,0,1000,705256409,0.18023210669823417,0.21358332681524828,0.0
2374,0.677,0.0010643653309561074,0.12543845435911938,0.0003392133419578558,1000,,0.3,0,1000,1145181723,0.8662387501843576,0.8561371239029759,0.0
2375,0.82,0.003102931277424781,0.09018223082216958,8.40837386824056e-05,1000,,0.3,0,1000,817316080,0.771616182931866,0.7784762748883326,0.0
2376,0.671,0.000449039457048106,0.07975582215351762,0.00023627171747742093,1000,,0.3,0,1000,786012305,0.5204871824785247,0.5017093288649009,0.0
2377,0.587,0.0011001402147876593,0.10932340173249255,0.00042579298143841093,1000,,0.3,0,1000,997383066,0.8058342814832994,0.772530750827759,0.0
2378,0.313,0.0005538853582008896,0.09480241097688935,0.0012990777968876488,1000,,0.3,0,1000,404090663,0.41873115958102003,0.444786797375905,0.0
2379,0.431,0.00028622660168042824,0.08321182971544439,0.0007494290077291188,1000,,0.3,0,1000,551229953,0.5278620759587412,0.5948434824934155,0.0
2380,0.55,0.0005491120578242636,0.08497787923400035,0.0005228101698808718,1000,,0.3,0,1000,840795730,0.38172947729179185,0.41717556295633096,0.0
2381,0.843,6.781315733106474e-05,0.0894274532878987,7.981272865742461e-05,1000,,0.3,0,1000,179851740,0.7364013585975595,0.7053419355272063,0.0
2382,0.434,0.00433512822634885,0.08468585445431265,0.001116211668780731,1000,,0.3,0,1000,204153694,0.11242057240889688,0.0916678591553359,0.0
2383,0.521,0.004011397703464037,0.10305358905366868,0.0010710455794110674,1000,,0.3,0,1000,1666818245,0.8143863913845917,0.7653796084626306,0.0
2384,0.084,0.0021806512806546996,0.0843040351386477,0.004545550530960174,1000,,0.3,0,1000,330724931,0.12591193414779428,0.11026747421731306,0.0
2385,0.637,0.00026212840099681944,0.09215124504980998,0.00032186453620142164,1000,,0.3,0,1000,679644935,0.7162653834949098,0.6302334932842217,0.0
