,p,r2_y_c,r2_yhat_c,r2_y_yhat,n,c_to_y_ratio_in_yhat,yc_in_yhat,y_in_c,num_perms,random_seed,p_pc_pearson,p_pc_spearman,y_to_c_ratio_in_yhat
123,0.078,0.007513820545385852,0.017368381462181004,0.024106466158073103,100,,0,0,1000,1530812528,0.09375351332827474,0.09375351332827542,0.0
124,0.352,0.006627120050636703,0.0009010652052464652,0.006203295901922257,100,,0,0,1000,647861397,0.3778858798949999,0.37788587989500044,0.0
125,0.955,0.002932076305513176,0.004738769940148102,9.242855768709646e-05,100,,0,0,1000,563383994,0.9474369934929694,0.9474369934929712,0.0
126,0.983,4.8169474734294226e-05,0.0005017710576576961,2.4054527758998745e-05,100,,0,0,1000,1179513918,0.9544145443599856,0.9544145443599851,0.0
127,0.553,0.0058670758815921875,0.032598147722085136,0.003977677004732061,100,,0,0,1000,781409813,0.5782748625019911,0.5782748625019944,0.0
128,0.146,0.0003579607686717834,5.456403345149852e-06,0.018707999669218434,100,,0,0,1000,244280760,0.11453373294489826,0.11453373294489856,0.0
129,0.502,0.001455601074296764,5.520896680866194e-05,0.0029134124621534863,100,,0,0,1000,1149967382,0.5302832063861294,0.5302832063861268,0.0
130,0.217,0.0011619102115963953,0.009949933440733139,0.010429369068243655,100,,0,0,1000,1027204489,0.2148131783780362,0.21481317837803449,0.0
131,0.153,0.01866163095501272,0.018661630955050468,0.018471798540296902,100,,0,0,1000,1858402418,0.1748657858647882,0.17486578586478668,0.0
132,0.15,0.017368381462180782,0.0024788984139695325,0.014685593316819956,100,,0,0,1000,1713922561,0.12993377454985072,0.12993377454985042,0.0
133,0.363,0.0015995425592721935,0.07809991859424059,0.006580897028804933,100,,0,0,1000,1192757155,0.2480330835465303,0.24803308354653025,0.0
134,0.402,0.014681702047928624,0.0011576531241896948,0.006667883492987303,100,,0,0,1000,1524823068,0.3142064351944198,0.31420643519441943,0.0
135,0.518,0.028698036975634222,0.0007897150341756864,0.00390702257257447,100,,0,0,1000,1513983115,0.5008191121956526,0.5008191121956518,0.0
136,0.553,0.0013147544760676588,0.0007580390410016902,0.002803341954079386,100,,0,0,1000,28269538,0.5323429949210006,0.5323429949209958,0.0
137,0.926,0.00015570294274835916,2.7299313464235198e-06,0.0002667693934347293,100,,0,0,1000,1996779031,0.8499670677445604,0.8499670677445582,0.0
138,0.544,0.005628680521749474,6.977531911145363e-06,0.003458505800837064,100,,0,0,1000,2063599293,0.50143270749109,0.5014327074910905,0.0
139,0.51,0.0003404719144765034,0.05305039844810844,0.003379185754013636,100,,0,0,1000,1990083466,0.5234577363002999,0.5234577363002999,0.0
140,0.133,0.0006394324716030297,1.7740427470380737e-06,0.01604442409192597,100,,0,0,1000,661943137,0.1422402555632166,0.14224025556321648,0.0
141,0.83,0.024812631329294788,0.00048367749185895814,0.00014934688998335943,100,,0,0,1000,1403562992,0.8468559342812948,0.8468559342812955,0.0
142,0.681,8.40222763387466e-06,0.004782631738795451,0.0012330002995372125,100,,0,0,1000,363122471,0.6818295974296157,0.6818295974296142,0.0
143,0.601,0.0011326939581750572,0.001178984710815456,0.0011789847119427765,100,,0,0,1000,491222027,0.7024197929062272,0.7024197929062284,0.0
144,0.382,0.00881615857922391,0.041576608831084494,0.0062116875390046955,100,,0,0,1000,432298836,0.5039648332804897,0.5039648332804897,0.0
145,0.55,0.03738389452130175,2.4928635254273246e-05,0.0019919716008159893,100,,0,0,1000,1304709030,0.6063310366123537,0.6063310366123522,0.0
146,0.036,0.005785245780259296,0.04720019569107092,0.03978346129726584,100,,0,0,1000,1467770045,0.030039086442319483,0.03003908644231981,0.0
147,0.097,9.057459120498379e-07,0.0004460476877565789,0.021403463192520844,100,,0,0,1000,1549830519,0.08907349234442163,0.0890734923444215,0.0
148,0.327,0.0025351415134466926,0.013630803955018034,0.010174079529099878,100,,0,0,1000,1514058593,0.27076623853460874,0.27076623853460857,0.0
149,0.794,5.376454618066795e-06,0.0007219466737539149,0.0003389960651054569,100,,0,0,1000,987229037,0.8306062558924854,0.8306062558924816,0.0
150,0.693,0.013173049243209056,0.0029853800963941524,0.002184596869754696,100,,0,0,1000,432725415,0.645825011110762,0.6458250111107645,0.0
151,0.548,0.0054588539158887395,0.00010276647595164334,0.0038685492399190835,100,,0,0,1000,1591096261,0.4785218714870937,0.478521871487095,0.0
152,0.854,0.02452915967497238,0.0020530706682659883,9.823623132731996e-07,100,,0,0,1000,264695457,0.9315015788780036,0.9315015788780041,0.0
153,0.346,0.024912478418358863,0.01285880396767225,0.009949933440732583,100,,0,0,1000,1042393695,0.15017989862716477,0.15017989862716524,0.0
154,0.326,0.00020458819323354582,0.014396143505994052,0.009763904326158701,100,,0,0,1000,729062470,0.24161733664425974,0.24161733664426144,0.0
155,0.899,0.0003675442921166061,0.01494457254856596,0.00016803127513387306,100,,0,0,1000,1017936139,0.8909008992878551,0.8909008992878547,0.0
156,0.168,0.0024788984139690884,0.0008286528271274074,0.014621942079392047,100,,0,0,1000,1846930476,0.1538800298318925,0.15388002983189122,0.0
157,0.16,0.001200934095863193,0.00017965918355278276,0.015419514469505624,100,,0,0,1000,373277956,0.15212445004989128,0.15212445004989203,0.0
158,0.148,0.005785178527123902,0.0004209489660992327,0.017902865037003002,100,,0,0,1000,2017905715,0.1153002698591577,0.11530026985915708,0.0
159,0.241,0.0010310982285429704,0.00267683419706366,0.008360326388084038,100,,0,0,1000,1202071144,0.3022948283334795,0.30229482833348065,0.0
160,0.807,0.03413015115876872,0.00016550287574024214,0.0008286528271271854,100,,0,0,1000,1778608981,0.7587547589449548,0.7587547589449537,0.0
161,0.815,0.00206894096942567,0.00022399296436415028,0.0009178421692468408,100,,0,0,1000,17804671,0.7338678553918434,0.7338678553918416,0.0
162,0.187,0.00239088489115602,0.00097720235444132,0.010884219496528291,100,,0,0,1000,572750107,0.23359246442979223,0.23359246442979179,0.0
163,0.398,0.002829138798499886,0.0015597933713550338,0.00674109798293776,100,,0,0,1000,207565000,0.3549937153802549,0.35499371538025637,0.0
164,0.808,0.015928521651612737,0.0,0.00029856427472285674,100,,0,0,1000,1306816430,0.8409882667715549,0.8409882667715547,0.0
165,0.908,0.0073592153792435555,0.004457063622318014,0.00026653826420286464,100,,0,0,1000,901143153,0.7880196077325532,0.7880196077325556,0.0
166,0.675,0.0010603892042406748,0.07508836347961712,0.0015586593667704651,100,,0,0,1000,1806904980,0.5434166597459931,0.5434166597459925,0.0
167,0.081,0.009079528739946663,0.05196817936396558,0.02623032466575481,100,,0,0,1000,1821178177,0.10013602320613586,0.10013602320613466,0.0
168,0.401,0.0032276646669953113,0.001715042106696596,0.005785245780259851,100,,0,0,1000,1654157772,0.39653408060698314,0.39653408060698303,0.0
169,0.658,0.0008380081459905542,0.0009716048310834946,0.0022918782891986345,100,,0,0,1000,160858905,0.570865463582563,0.5708654635825644,0.0
170,0.378,0.0023865436935194273,-5.513594469874761e-09,0.006238992969314516,100,,0,0,1000,1320129680,0.3603392611915446,0.36033926119154414,0.0
171,0.168,0.004793707757590471,0.0025373654021237924,0.01380360010690218,100,,0,0,1000,1128253970,0.15645578899268714,0.1564557889926883,0.0
172,0.62,2.8094976315951037e-05,0.03706328096766709,0.0014739446317910687,100,,0,0,1000,1403243158,0.6382894721522248,0.6382894721522219,0.0
173,0.553,0.012563005163404029,0.011774664887267083,0.0036890761061918464,100,,0,0,1000,123756764,0.5859766858672222,0.5859766858672208,0.0
