,p,r2_y_c,r2_yhat_c,r2_y_yhat,n,c_to_y_ratio_in_yhat,yc_in_yhat,y_in_c,num_perms,random_seed,p_pc_pearson,p_pc_spearman
84,0.538,0.0179634250319074,0.009485437932272522,0.0194943479241918,50,0,0,0,1000,501147184,0.3241160408914989,0.3241160408914996
85,0.65,0.00019710938548722634,0.005143275943183756,0.00022703896955933445,50,0,0,0,1000,1768542267,0.570443329041989,0.5704433290419882
86,0.028,0.016128234064904046,0.07863669414701924,0.019021091354012865,50,0,0,0,1000,613563948,0.03008826476871642,0.030088264768716302
87,0.735,0.0005494907557033191,0.0015816482997027537,0.0005494907557033191,50,0,0,0,1000,780420734,0.7458661752033219,0.7458661752033224
88,0.903,0.01017805007758299,6.900767448692058e-06,6.690536373810119e-06,50,0,0,0,1000,1530635368,0.9844832640316796,0.9844832640316801
89,0.881,0.031063074009013203,0.000491590786651841,0.02812248300683251,50,0,0,0,1000,1049747644,0.635503952600776,0.6355039526007771
90,0.701,0.007090999541429888,0.005143134851721243,0.01612823408014563,50,0,0,0,1000,2133868785,0.4962806209490793,0.4962806209490789
91,0.392,0.00019772895753711328,0.019337097594711028,0.0013795236082803086,50,0,0,0,1000,1227640767,0.25957960111357137,0.25957960111357253
92,0.764,0.01346677764324622,0.0036890953830670536,0.024861942900281098,50,0,0,0,1000,1400720309,0.7448608908413912,0.7448608908413901
93,0.171,-4.580771317819199e-10,0.030404279220824004,2.8192431403395446e-05,50,0,0,0,1000,1875327350,0.16264899681492,0.16264899681491946
94,0.188,0.024337791988895074,0.028122483006546184,0.0007936108618420423,50,0,0,0,1000,998633014,0.18126393426980295,0.18126393426980245
95,0.788,0.00975574949762914,0.0002622928388041901,0.07421606227779909,50,0,0,0,1000,1495616662,0.6820771938029357,0.6820771938029369
96,0.884,-1.8465613482732124e-09,0.00127135161899683,0.05843069400923129,50,0,0,0,1000,2077593581,0.7697287548044061,0.7697287548044057
97,0.749,0.12029078938415938,0.0017876857398428925,0.0008059397680860725,50,0,0,0,1000,1777051770,0.7897087857011145,0.7897087857011136
98,0.33,0.006180638371758529,0.011057532753011357,0.00463435765583331,50,0,0,0,1000,1966510930,0.3659554818927032,0.36595548189270255
