,p,r2_y_c,r2_yhat_c,r2_y_yhat,n,c_to_y_ratio_in_yhat,yc_in_yhat,y_in_c,num_perms,random_seed,p_pc_pearson,p_pc_spearman
55,0.65,0.03813282615921332,0.0034869272301958354,0.006877603820212186,50,0,0,0,1000,1468421546,0.7482426177764164,0.488296902114541
56,0.91,0.02689745178969105,0.0002738556325939667,0.04597088553118156,50,0,0,0,1000,1005374725,0.9231236240949111,0.606955274914374
57,0.453,0.006759200041037028,0.011963964013940509,0.004416036972941795,50,0,0,0,1000,78165742,0.43413562543169715,0.9117497294871999
58,0.198,0.1169361755675663,0.043065957338780825,0.08306889416337393,50,0,0,0,1000,1080121834,0.3310910162388587,0.3368595045915169
59,0.4,0.01440231870497899,0.01506881950621708,0.01346478655051786,50,0,0,0,1000,826541444,0.35302323119252965,0.6339821432996655
60,0.843,0.009358393136932097,0.0007750966302658702,5.547287914187127e-05,50,0,0,0,1000,215117809,0.8523329991985448,0.9892029312175041
61,0.18,0.0217846221412501,0.03949641753248134,0.05867590379649956,50,0,0,0,1000,305128647,0.09104874851024913,0.05515525694872133
62,0.395,0.018899078682267922,0.013909195102251082,0.020445033052908124,50,0,0,0,1000,631354571,0.4901398998536515,0.5414035342562655
63,0.039,0.0014109315250752097,0.08218900770660342,0.005325233146622255,50,0,0,0,1000,760648162,0.04720572146048679,0.09731703742113101
64,0.978,0.0030257427234278156,1.4278198785300233e-05,0.0002731946022468401,50,0,0,0,1000,553576721,0.9753619424164385,0.9351233722071837
65,0.58,0.0018773932860843834,0.006553392870300323,0.018351316394642048,50,0,0,0,1000,2078160693,0.5512072068168543,0.415928679468778
66,0.453,0.005626420165604551,0.011417672744298613,0.013464786550517638,50,0,0,0,1000,2019846921,0.4325793080582566,0.26861680596485016
67,0.23,0.03702643768711722,0.027599137599985335,5.7913665080677745e-05,50,0,0,0,1000,1279013547,0.24877348819352837,0.40121893508953743
68,0.103,0.00029860240918300196,0.05709823193865027,0.0037558957510285262,50,0,0,0,1000,1134490754,0.09903936088657768,0.13329864544627298
69,0.74,0.01790273184044522,0.0023301916914383325,0.07003445810141407,50,0,0,0,1000,849951427,0.8778669573362896,0.5648796156179228
