,p,r2_y_c,r2_yhat_c,r2_y_yhat,n,c_to_y_ratio_in_yhat,yc_in_yhat,cov_y_c,num_perms,random_seed,y_to_c_ratio_in_yhat
86,0.847,0.000822650963657546,0.0019474990585139614,0.000822650963657546,50,,0,0,1000,613563948,0.0
87,0.853,0.0007390567263071588,0.010673646726978377,0.0007390567263071588,50,,0,0,1000,780420734,0.0
88,0.604,0.0057435761873923874,0.002796983324025663,0.0057435761873923874,50,,0,0,1000,1530635368,0.0
89,0.693,0.0032349874142902114,0.009425454329009415,0.0032349874142902114,50,,0,0,1000,1049747644,0.0
90,0.589,0.005819565140091001,0.0275355766301432,0.005819565140091001,50,,0,0,1000,2133868785,0.0
91,0.095,0.05765600445559847,0.03551529717568238,0.05765600445559847,50,,0,0,1000,1227640767,0.0
92,0.433,0.01193637910905383,0.04978333565574061,0.01193637910905383,50,,0,0,1000,1400720309,0.0
93,0.708,0.0024836314027222237,0.056656640085140604,0.0024836314027222237,50,,0,0,1000,1875327350,0.0
94,0.515,0.008882543772751324,0.0004236593515513386,0.008882543772751324,50,,0,0,1000,998633014,0.0
95,0.721,0.002367123202828029,0.0010640895494901511,0.002367123202828029,50,,0,0,1000,1495616662,0.0
96,0.115,0.04772908167635414,0.0013878033378601953,0.04772908167635414,50,,0,0,1000,2077593581,0.0
97,0.041,0.08311963932940662,0.029475506570283867,0.08311963932940662,50,,0,0,1000,1777051770,0.0
98,0.096,0.05332943132216013,4.4562934060897074e-05,0.05332943132216013,50,,0,0,1000,1966510930,0.0
99,0.79,0.0013135087091885752,0.001179311580618778,0.0013135087091885752,50,,0,0,1000,504192306,0.0
100,0.997,1.970889740347024e-07,0.00895822472765639,1.970889740347024e-07,100,,0,0,1000,1604458567,0.0
101,0.175,0.01948530164039241,7.228821150558849e-08,0.01948530164039241,100,,0,0,1000,774880851,0.0
102,0.808,0.0006205731341596772,0.00015561210137440625,0.0006205731341596772,100,,0,0,1000,227552889,0.0
103,0.937,7.023548479677824e-05,0.0032314998409935214,7.023548479677824e-05,100,,0,0,1000,16906905,0.0
104,0.68,0.0015526852979007028,0.008806252850104728,0.0015526852979007028,100,,0,0,1000,55384970,0.0
105,0.191,0.01900139920267439,1.4083059814576865e-08,0.01900139920267439,100,,0,0,1000,2132110259,0.0
